Hour,Screen Time (Mins),Chord,Octave
2022-02-04 01:00:00,53.8,"Em (E, G, B)",2
2022-02-04 02:00:00,2.75,"A (A, C#, E)",5
2022-02-04 03:00:00,17.416666666666668,"A#m (A#, C#, F)",4
2022-02-04 04:00:00,0.9333333333333333,"B (B, D#, F#)",5
2022-02-04 06:00:00,16.7,"A#m (A#, C#, F)",4
2022-02-04 07:00:00,20.9,"Gm (G, A#, D)",4
2022-02-04 13:00:00,3.033333333333333,"A (A, C#, E)",5
2022-02-04 14:00:00,0.1,"B (B, D#, F#)",5
2022-02-04 15:00:00,6.216666666666667,"G (G, B, D)",5
2022-02-04 16:00:00,1.9166666666666665,"A# (A#, D, F)",5
2022-02-04 17:00:00,3.75,"A (A, C#, E)",5
2022-02-04 18:00:00,0.95,"B (B, D#, F#)",5
2022-02-04 19:00:00,8.283333333333333,"F (F, A, C)",5
2022-02-04 20:00:00,10.683333333333334,"D#m (D#, F#, A#)",5
2022-02-04 21:00:00,26.45,"Dm (D, F, A)",4
2022-02-04 22:00:00,24.383333333333333,"Em (E, G, B)",4
2022-02-04 23:00:00,8.95,"E (E, G#, B)",5
