Day,Screen Time (Mins),Chord,Octave
2022-02-02,22.266666666666666,"G# (G#, C, D#)",5
2022-02-03,41.85,"F (F, A, C)",5
2022-02-04,207.21666666666667,"Dm (D, F, A)",3
2022-02-05,53.61666666666667,"D# (D#, G, A#)",5
2022-02-06,136.96666666666667,"D (D, F#, A)",4
2022-02-07,167.5,"A (A, C#, E)",3
2022-02-08,186.31666666666666,"F#m (F#, A, C#)",3
2022-02-09,79.0,"B (B, D#, F#)",4
2022-02-10,53.65,"D# (D#, G, A#)",5
2022-02-11,74.3,"C (C, E, G)",5
2022-02-12,100.1,"G (G, B, D)",4
2022-02-13,158.06666666666666,"A# (A#, D, F)",3
2022-02-14,163.35,"A (A, C#, E)",3
2022-02-15,124.48333333333333,"E (E, G#, B)",4
2022-02-16,100.45,"G (G, B, D)",4
2022-02-17,57.766666666666666,"D (D, F#, A)",5
2022-02-18,239.25,"Am (A, C, E)",2
2022-02-19,99.89999999999999,"G# (G#, C, D#)",4
2022-02-20,79.35,"B (B, D#, F#)",4
2022-02-21,101.66666666666667,"G (G, B, D)",4
2022-02-22,78.23333333333333,"B (B, D#, F#)",4
2022-02-23,149.41666666666666,"C (C, E, G)",4
2022-02-24,114.1,"F (F, A, C)",4
2022-02-25,127.18333333333334,"D# (D#, G, A#)",4
2022-02-26,154.70000000000002,"B (B, D#, F#)",3
2022-02-27,150.38333333333333,"B (B, D#, F#)",3
2022-02-28,104.86666666666666,"G (G, B, D)",4
2022-03-01,102.25,"G (G, B, D)",4
